equipment_id,equipment_type,location,age_days,runtime_hours,temperature,vibration_level,power_consumption_kw,humidity_level,error_codes_count,manual_override,downtime_last_30d,service_priority,failure_within_7_days
b'\x06\xc4:AR\xacI\x93\x9a_\xe6F\x7f\x1e\x87\xd7',Pump,Building A,1683,6005.14,72.48,3.51,27.18,74.31,2,1,2.2,Low,0
b'\x85+\xebo\xbc\x1fM\xb6\xb7\xd9\xac\ts\xc5\xf9e',Boiler,Warehouse 1,968,5597.4,82.01,2.55,26.88,79.07,0,0,1.57,Medium,0
b'S[)\t\xb3/M\xa4\xbf\xfe\xa0\xc2\x08-\x06T',Boiler,Warehouse 1,454,3721.98,58.56,1.67,27.76,56.92,1,0,0.52,Low,0
b'T\x11\xf8u;\xd6O\xee\xb0G\xf7\xa7\xfe\x92\xcdC',Elevator,Building C,1680,5169.69,68.0,4.63,27.67,57.81,2,1,1.3,Low,0
b'\xa0+\xb4\x04\xc5\x8fK\x94\x943Y\xe8\xd7\xff\xba\x19',Generator,Building B,411,3610.43,58.55,4.53,32.2,66.47,4,0,0.44,Medium,0
b'\x04!\x02D\x1b8I\xab\x81\x9e\xebG\x835\x8d\xa9',Boiler,Building A,1751,4747.31,78.92,2.72,22.77,36.09,1,0,0.67,Low,0
b'\x95=\x9f\xd5\x97\xf0B\xbb\xa3\x8d\xdf\x04\xb6\x97\x8d8',Boiler,Building B,969,5970.9,68.83,0.13,21.98,66.62,1,1,1.07,Medium,0
"b""+\x9a\xc7\x02\xf1@He\x91V:%\xca\xec'E""",Boiler,Building A,1420,4865.73,73.41,1.55,22.76,61.51,1,1,1.68,Medium,0
b'\x9b\xdf\xa15\xd9\x1eMU\x913\xa5\xf2B\xc4\xd7I',HVAC,Building A,1633,6397.41,74.25,2.13,20.32,67.99,4,1,0.48,Low,0
"b'\x83\x04`\xddFgDN\x9f\xe1\x92\xbf\x0b#,\xd1'",Generator,Building A,1640,3597.39,92.5,1.13,16.54,76.83,2,0,2.2,Low,0
b'\x8fA \x1a\xa35O\xfb\xaaQ\xa8\x0f\xb8<el',Generator,Warehouse 2,958,5239.48,67.18,6.33,13.81,40.08,2,0,0.2,Medium,0
b'(\xb6\xe0K\xd9\x9aD\xa6\x95\x93}\x05\x81\\\xd4\xf7',Boiler,Building C,1156,5043.81,73.53,4.45,31.05,43.92,2,1,8.81,Medium,0
b'\xbb9v\xf9U\xbfL\xc2\x94%)\xcf\xff`\xde&',Pump,Building A,1109,5414.54,67.28,0.85,10.43,73.06,2,0,0.22,Low,0
b'\xe8\xb3\xc7\xb2}\xb1G\xcb\xa4\xcc\xeb\xea\x0c\xd8\x91\xc9',Elevator,Building A,1641,5568.98,91.28,2.43,18.98,35.14,1,1,0.78,Low,0
b'V\xb5\xb0F\x15\x85D\xe5\xaaK~\\\x8b\x11\xbd\xa4',Boiler,Warehouse 2,1395,4350.72,62.76,3.05,16.15,34.06,1,0,1.55,Medium,0
"b'\xdc\x00,5\xb3pAv\x93?\xe7\xe0g\xa5D@'",HVAC,Warehouse 2,773,5330.88,83.34,0.01,21.87,49.98,4,0,1.25,Low,0
b'j\x97\x06\x0b\xa7\x9eAv\x80\xef\xd5\x93\x9a<\xfdB',Pump,Warehouse 1,1218,5096.43,68.19,1.51,23.15,62.15,0,1,1.2,Medium,0
b'\xf4\xf5\xa9\x7f\xfc\x87F\x1d\x8d\xf1ik\x14\t\xb8\xe0',Generator,Building B,822,4264.47,87.36,4.64,23.05,85.63,1,0,0.33,Low,0
b'\xba\x89D\x97\x0f\xe0@\xce\xa0\x98\xad<\nFk\x84',HVAC,Building C,640,6213.1,76.42,6.48,21.97,35.35,1,1,3.5,Medium,0
"b'~\x912\x9b\x9dGI\x88\xae\x84,w\r\xa3\xba\xad'",Pump,Building C,550,5708.11,84.57,1.82,13.34,35.26,2,0,1.01,High,0
"b""\xc2\xf1\x08\x86\x94'@\x7f\x8a\x13Mc\x00\xcfq\xaf""",Boiler,Building C,1312,7155.74,63.69,4.25,20.16,59.82,2,0,5.34,Medium,0
b'\x87\xad\xf9\x158\xfaBO\x80K\xd2/oM\xd82',Elevator,Building A,1314,5081.83,74.01,4.38,18.55,82.08,2,1,0.17,Low,0
b'\x1f2f\xf07YJ\xe8\x8c\xc0\xea\x83\x13#\xb4\xc1',Pump,Warehouse 2,402,3812.09,71.47,1.45,26.57,88.54,2,0,3.96,Medium,0
b'!\x18\xfd\xb1\xbe\xe9J\xc4\xb42\xdfZ\x92\xd1\xc7}',Generator,Building A,1562,4974.97,83.18,5.09,22.79,40.49,1,1,0.32,Low,0
b'\xf7\x97M\x87E:A\xd0\x9d\t\x1a/\xc01\xc2\xff',Elevator,Building B,998,4390.49,73.13,3.08,22.65,87.95,1,0,1.41,Low,0
b'\xdb\xd6\xc1\xce\xa2\x8fO\xd6\xb9$>\xe7kd\x8d\xd9',Boiler,Building B,1276,4060.66,73.56,1.19,23.0,67.18,1,1,0.13,Low,0
b'\x8e\x14\x15\xe5N\x8cA\xce\xae\xec&\xf9\xda\xec\xce\x9e',Generator,Warehouse 2,955,4786.56,89.91,3.22,18.31,89.02,1,0,0.26,Medium,0
b'lX\xdd:\xb5\xd2K\x1e\x87I\xcf:\xbc\xa5k<',HVAC,Building A,1428,4386.6,71.98,2.42,20.85,60.57,3,1,1.96,Low,0
"b""'\xb6\xc0t\xef\x83OQ\x9e\xa7\x84\xa3\xbf\x93\x00\xf6""",Elevator,Warehouse 2,1659,2446.08,84.34,0.95,18.88,52.07,3,1,0.02,Low,0
"b'\xb4\xe8\x03v@\xf4D""\xbc\xb2t\xde\xd4\xcbr\x83'",Generator,Building A,1503,4423.49,49.09,2.18,21.96,62.12,0,0,0.02,Low,0
b' \x80\x92\xef\xaf\xe2K\x04\xb3NH+\xc5`\xbbc',Elevator,Building B,709,4005.89,74.69,0.06,30.3,80.66,0,0,1.34,Low,0
b'\xfb\xb8S6\xee\xdeC\xdd\x9df\x9c\xbc\xf6\x1e\xbe@',Pump,Building B,1636,4556.72,66.15,2.74,28.56,52.55,1,1,3.07,Low,0
b'\xe1\x06 \xa0\xee\x06A\xe1\xb2d\xcc\xcc$ (\xa7',HVAC,Warehouse 1,1798,4330.93,85.4,2.09,29.13,45.28,1,1,4.64,Low,0
b'\xd5\x89\xa0x\x07\xc7K\x05\x83\xc8K\xb6\xccT\xb3_',Pump,Building C,1657,7157.31,68.94,4.11,21.5,68.2,1,0,1.46,Medium,0
b'\xe7&\xd9IU>M\xbe\x94c\x03ZsZ\xfc\xfb',Boiler,Warehouse 1,610,5459.97,68.22,6.02,20.68,32.5,0,1,2.52,Medium,0
b'\x164\xe7\xdbB\x02E^\xa75e\x94\xa0~A\x0e',Elevator,Warehouse 1,965,4197.51,87.99,1.53,13.36,76.48,1,1,0.38,Medium,0
b'\xfa\xaby\x9a\x7f]Fr\xa8\xbfN\xf6\x94Q\xaf\x01',Elevator,Building C,688,5282.54,67.92,1.83,24.4,31.26,0,0,6.88,High,0
"b""!\tkd\x0b\x86@^\xaf='\xe6\xc8\xf0_\xf3""",Generator,Building C,763,5996.05,67.43,0.87,27.51,42.34,0,0,1.91,Low,0
b'%\x9dx6\xeb\x85L\xb8\x96\xdb|\xd7\x98\xf58n',Generator,Building B,1572,5641.69,87.25,2.12,20.19,88.11,3,0,1.75,High,1
b'\xb3\x95\x88-\xee2Hb\xb9\x10\x12\x1eG]\xabF',Pump,Warehouse 1,724,5745.8,80.93,1.72,21.8,50.3,1,1,0.93,Medium,0
b'\xeeQ#\x19\xeb\x1fL|\xb9\xa8S?\xf7\xcdh#',Generator,Building B,1183,3262.27,55.52,3.87,20.74,44.44,0,1,0.44,Low,0
b'\x89\x9ffq\x9c\xf1A\xeb\x9f3\xf8M*\xb1\xb7\xfc',Generator,Warehouse 2,1717,5307.41,83.16,4.29,17.08,81.68,2,0,2.81,Low,0
b'\x0c;\x93eKsFh\xa90\x10\x8c\x8b\xdd\rS',Generator,Building A,884,6213.73,73.6,4.33,23.67,69.37,0,1,1.58,Low,0
b'w\xc4\xe4\xbe\xb5wBk\xbe\xe3\xf8MS\x12\x1aq',Boiler,Building A,1168,5399.69,68.49,2.21,22.93,60.35,3,1,1.42,Medium,0
b'\xf3\xc4\\\x1e#\x88G\xbd\x9c;uy\xc7\x00:\x99',Boiler,Building B,427,5565.51,57.39,4.13,21.91,68.18,1,0,1.24,Low,0
b'\x018\xb5\x0bV\x8bA\t\x91~us\x98\x03L@',Elevator,Building A,1463,4790.98,66.49,2.13,22.94,63.31,2,0,0.88,Low,0
b'\x8d\x05\xcfY\xa5\xf5I;\xa6\xb8\xe1\xaf\xbdv\xe0\xd2',Generator,Warehouse 1,1228,5277.98,89.55,0.83,14.47,38.93,3,1,1.19,Low,1
b'\x82\xfc\xa2\xec\xcd\x13F\x10\x93\xe5a\x1b\xe1\xedT\xf9',HVAC,Warehouse 2,835,5589.06,78.39,0.45,27.29,54.76,1,1,1.93,Low,0
b'\x86\xc2c\x9a\xc1\x1aNl\x89\xc8V\x88\xe3\xfe1p',Elevator,Building C,1372,6166.55,69.27,3.27,15.82,58.86,1,0,1.73,Low,0
"b'\xf8\xbc\xb1\xcf\xe5HA\xa6\xa2""[\x0e\xa9\xe8G,'",HVAC,Building C,1009,6861.32,93.87,5.45,24.78,78.3,1,0,1.38,Medium,1
b'\xafN\xc8\xce\xea\xcbJ\xba\xb6\x96\x19\xa1m\xc9-\x86',Boiler,Building A,882,6115.9,68.51,4.42,23.41,61.04,1,0,0.8,Low,0
b'\xdf\xb5\x9f\x91)\x9dC\xce\x83\x14\r\xe7\xe7E\x97O',Elevator,Building B,1326,4156.74,73.65,3.72,13.17,74.14,4,0,3.08,High,0
b'(V\x93\x1e\xf7CM4\x96\x18\xfb\x16`\xba\xe6\xb3',Elevator,Building A,1393,4773.52,65.41,2.44,25.44,64.31,1,0,0.9,Medium,0
"b""\x83\xbd#\xcc\x9boF\x92\x8d\xb3\xaa\xde\xd7\x19'\x13""",Boiler,Building B,953,5140.89,57.32,3.48,19.26,45.56,3,0,3.25,Medium,0
b'\xf8\xa1\xa3q\tjNK\x93\x12\xb7\xfbJG\xad3',HVAC,Warehouse 1,1293,3830.08,46.28,2.96,28.86,56.21,2,1,1.88,Medium,0
"b'5&\xe7\x83\xdf\xddI\x81\xae~""\x1a\\\xcd\xecr'",Pump,Building B,1045,5395.31,69.27,3.53,20.61,34.14,0,0,0.66,Low,0
"b'\xe4[\xcc\xbdG\x10E\x86\xa3\xf8E,\x95B\x01\xaa'",Boiler,Warehouse 1,1151,4122.02,66.73,2.66,21.84,46.32,3,1,1.34,High,0
b'\xd6y\xec\x85\x8eUGr\xbe\xe8L\x9e@\x8f\xff\xe5',Elevator,Warehouse 2,1623,2575.76,83.84,4.11,18.59,31.31,4,1,1.09,Low,0
b'\xae\x8b\x8ca\xc7\x19M\xea\x84\xbb\xf6\xa7\xff\x12\x86\xf0',HVAC,Warehouse 2,582,5884.61,65.81,1.33,22.84,63.92,3,1,0.24,Low,0
b'G\t\xab\x8a\x11\xc7C\xe1\xb7\x16\xca:qP\xcb ',Boiler,Building B,612,4573.24,69.58,3.95,17.75,63.67,1,1,3.93,Medium,0
b'_nb\xa7\x98#K\xd7\x8b}2\xf9\xbf\xc4Q\x0f',HVAC,Warehouse 1,1747,4704.46,76.52,3.57,29.06,34.9,1,1,0.36,High,0
b'\x0ei\xc1\x93\xb0hO\xa7\x84\xdc\xec\x92\xf3Zk\xbe',Generator,Building B,1784,4551.62,95.1,5.65,14.83,62.73,0,0,1.44,Low,1
b'c\xd5\xd7\xd3T\x07Hg\x91\xe6\xbf})\t|\x1b',Generator,Warehouse 1,809,4817.1,88.75,2.03,16.0,39.88,2,1,0.46,Medium,0
b'D\xc2\x9f\xc2\xb3\xfbN\xc0\xbc\xea\x91U{\xa6\xc0r',HVAC,Building A,1451,4639.53,80.11,3.48,19.84,76.32,0,1,0.13,Low,0
b'\xb1fUkT\xfcF\xdd\x9f\xe6\xf8\xee\x05\x8c`\x93',Generator,Building B,1385,5883.11,74.22,2.73,35.97,36.33,2,1,2.99,Low,0
b'Gb7\x14\x0bgL#\x9d\xb6\xf2P\xaf]\xd2\xe9',Pump,Warehouse 2,1042,3169.23,77.01,3.54,26.84,68.07,3,0,0.34,Medium,0
b'\x8b\x05\x8eU\xea\x9bF\x85\x85\x17\xd3\xc4WzO\xe9',Generator,Warehouse 1,1823,5982.57,81.56,4.25,17.86,84.37,2,1,0.45,Low,0
b'\x87\x04\xb6\xc9b\xe0K\xc1\xb40\xa1\xaf\xffHs\xe5',HVAC,Warehouse 2,402,4044.88,79.24,6.09,14.66,35.01,4,0,8.28,Low,1
b'\xce\xfd\xb4\xa0\xf2\x0fHW\x82\x1b\x8c \x854\xcb\xc1',Pump,Building A,897,6148.73,89.32,1.22,18.72,30.76,2,0,4.42,Low,0
b'U\xde\xfay7DL\x93\xa2\xe5\xea\xd8\xf5V+\x15',HVAC,Building C,1473,5194.38,71.47,3.51,18.52,79.14,2,1,1.27,Low,0
b'\x9a1s\x8d\x84?I\xa8\xbbml\x9c\x8d\xdc\xaa\x13',Generator,Warehouse 2,1331,4834.6,88.06,2.86,8.8,79.69,1,1,2.49,Medium,0
b'\xa0W\x91\x03\xd4\xccNG\xae\x89\xc5\xd3>\x00R\xae',Elevator,Building A,780,4434.72,70.89,2.01,9.85,74.93,2,1,3.68,Low,0
"b""d\xbb%\x08E\xd1L\x95\xb3\x1c'\x1a\xb3\x90\x98(""",Elevator,Building A,1364,5403.73,74.76,1.64,21.62,70.57,1,1,0.14,Low,0
b'\xfb\xb9O\x9bu\xefLD\x88=\xa7\x10\xf9:\xc3c',Elevator,Building C,1304,5283.29,72.41,3.88,17.63,46.76,3,1,0.48,Low,0
b'\xcb\xf2\x18l(#H\xaa\xb2{\xdd\x15\x9a\xe5U\xc7',Generator,Warehouse 1,526,5513.91,76.8,3.53,22.45,77.31,1,1,4.75,High,0
b'\xbcG\xb7\xaa\xc0\x8fL>\x9a\xc0\xc3J\xccA\xc2\x1a',Pump,Warehouse 1,1289,5672.57,94.0,2.8,15.13,57.62,2,0,7.53,Medium,0
b'\x03\x7f\xf72\xd9\xb6A\xe0\xb9\x90\xb3fd\x91\x03\x0e',HVAC,Warehouse 1,945,4812.47,65.57,2.67,22.11,81.5,2,1,3.27,Low,0
"b'\x85,\xa0\xca\x17\x1eD\xf6\xbe\xa4\x9c/&\x88\x8fS'",HVAC,Building C,860,4064.56,85.86,2.2,24.04,82.37,0,0,2.43,Medium,0
b'\x89\x1b\x144\xd2}KA\xbbu\xcfW\t\xe4[\xc4',Generator,Warehouse 1,1763,4089.3,75.92,0.17,18.52,65.9,1,1,2.72,Low,0
b'\x87\xf1\r\xac\xb8|J\xc9\xb3\x8b+2\xd4\x15Ar',HVAC,Building A,845,5428.31,83.99,4.35,21.07,41.12,0,0,0.55,High,0
b'\xc4\x9e\x8c\xc0_wA\x13\x91g(d+z\r\xf3',Elevator,Warehouse 2,835,5070.05,86.62,1.61,21.19,35.63,5,0,1.13,Low,1
b'\xab\xda\xd7\xb5:\x94JX\xb0\x10\n\x82\\M\xbe\xe8',Generator,Building C,1266,4345.92,56.69,3.77,26.87,83.55,2,1,1.79,High,0
b'Tb?R\x0f\x1dB\xeb\x95\xffP\xfd%\x1d\xa78',Generator,Warehouse 1,711,3985.58,82.83,1.55,20.15,53.07,3,1,2.72,Low,0
b'\x96(\xe1O\x0b[A\x04\xa2oGU\xa8L\x89z',Generator,Building B,423,7290.88,76.07,2.84,19.08,51.71,1,1,0.3,Low,0
b'R\x8b\xf8sO G\x91\xa53\xe7r\xfe\x04\xf24',Boiler,Building A,1443,4779.81,54.32,3.68,13.8,46.84,0,0,1.45,High,0
b'\xa4ZQ\xc4A\x9fH\xfb\x9a$\xf1PF\x1e\xf7\xd6',Generator,Warehouse 1,1533,4690.79,67.48,3.48,26.7,60.76,2,1,0.18,Low,0
b'\xd7v^\xf2cUN\xd5\xaa/(\x00)\xb5{6',Pump,Building A,642,4113.78,77.69,3.16,9.19,82.45,3,1,0.64,Medium,0
b'\x91:\x83\xf6T&Kz\x97t\xf1\xea\xa1\xf4:x',Boiler,Warehouse 2,1401,3622.3,56.42,4.25,19.09,72.84,1,0,3.47,Medium,0
b'\x9e\xe3]\xe6\x05 Nd\xb0\xfaO<\x99\xdfnP',Boiler,Building B,1648,5144.87,68.85,1.94,21.71,53.03,1,0,0.26,Medium,0
b'\x1f\xcdD\x14\xb4\xcbA\x15\xbfY\x8c\x96]Z\xedV',HVAC,Building C,1016,6521.4,70.09,3.77,19.16,70.11,2,0,0.02,Medium,0
b'\x8d\x1b\x99I\x19{N\x1a\xb0\xb5\xf3\xde\x18n\xad\xcc',HVAC,Building A,1374,5708.21,77.33,4.43,21.44,73.44,0,1,4.65,Medium,0
b'\x9bO\xe7\x0b\xd8iI\xa2\x80\x8bJ\xffB[\x11\xc8',Boiler,Building A,1642,5058.35,67.55,0.45,16.77,59.16,1,1,0.26,Low,0
b'\xafl\x81s\xf1~F\xaf\xaa\xe2\xad\xd8\xd0\xc7u+',Boiler,Building C,1638,3040.61,82.33,4.28,26.44,80.74,2,0,0.64,Medium,0
b'fni\xc7]\xf2J \x91\xc68D1\x95p\xd3',Elevator,Warehouse 1,1091,6000.58,68.29,5.09,18.75,79.35,3,0,1.75,Low,1
b'/m\xfdK\xbb:L\xfd\x9cm\x0ej\x92\x90\x1bb',Elevator,Building C,460,6304.34,58.38,4.55,25.63,52.47,0,1,1.13,Medium,0
"b'""\x12H\xc7\x16\xdfF:\x93I\xa0o\x80\x9cJ\x85'",Generator,Building B,898,4035.6,70.7,3.07,19.19,68.21,1,1,1.05,Medium,0
b'\xc4DLaGQJ?\xa8\xd4u\x13z\x9f\x9b\r',HVAC,Warehouse 2,889,6110.3,63.17,0.56,26.36,43.07,3,0,1.33,Low,0
"b'\xc1,k\x8e\x17\xc0G\x98\x80\x87\x88\xcd\x93\xf2\xf8""'",Boiler,Warehouse 2,1332,5005.49,70.24,2.85,22.05,32.34,0,0,0.98,Low,0
b'\xd2\x05\xe8\x15\x1f\xe7O=\x92stRq\x95\xb0Y',Boiler,Building C,874,4741.2,90.99,3.84,18.52,36.97,3,0,3.51,Low,1
b'Z\xa5\xc2l\x12\xe6K\xb2\xacyw\xfc\x14\xd7\xf3\x1e',Boiler,Building C,888,4892.7,79.48,0.64,14.37,62.48,0,1,1.61,Low,0
b'\x14;\x9e\xb0\xb9_@\xc1\x94\xdd\x9b\xd7\x07\xe55\xb3',HVAC,Building A,1594,6572.81,77.5,2.67,26.14,48.14,1,0,0.12,Low,0
b'g\nN\xe6\xadSC\xf6\x8e\x11\xe3\xf3bL\xa6\xe7',Elevator,Building C,567,3738.55,66.35,3.09,22.47,50.84,1,1,1.17,Low,0
b'\n\x00HfZ/J\x81\xa3\x13\x0c1\x98\x9b\xeds',Generator,Warehouse 2,1005,4794.71,98.34,3.44,24.5,64.16,1,0,1.01,Low,0
b'T\x19\x1a\xe2\x9e\x17O\xab\x87\x04\xdf\xd0\xb5\xb9\x13\xd0',Elevator,Building B,1684,4969.86,69.32,0.71,21.2,87.84,4,1,3.13,Low,0
"b""\xec)'X\x1f,L\xbb\x8d\x0c]\xba~\xa4B\x94""",Elevator,Building C,462,5269.13,71.57,3.93,18.15,86.64,0,0,1.24,Low,0
b'3\xbf\xc0\x8d\xfc\xf7L\t\xa1M$.\x97\xab>\xc2',Boiler,Warehouse 1,1097,4986.53,78.91,3.38,25.23,52.52,1,0,2.87,High,0
b'\x84@\xd0\x12\x8b\xb2D\xcd\x98\xf9\x90\x85\x1de\xa6#',Boiler,Warehouse 1,414,5240.47,50.8,7.07,18.65,81.93,4,0,6.25,Low,1
"b'\xc3[\n,\x86\x9bB:\xa1\xfa\x8f>[.\xce\x89'",Pump,Warehouse 2,537,4802.66,73.49,2.71,25.67,80.82,1,1,4.3,Low,0
b'\xf9\x14\xadt\x13\x08E\xbe\x9f&\x94\na4\x03<',HVAC,Warehouse 1,1630,5593.56,45.6,3.98,20.97,31.15,3,1,0.29,Low,0
b'\x1b\xad\xb88t\xf4L\xfe\x8e1\x13X\x9cK\xcc\x1c',Pump,Building A,992,4028.34,61.2,2.06,24.31,42.64,1,1,12.26,Low,0
b'\xb9\xfe7\xb6\x00\x97B\xc5\xa7x\xd3\xa3\xcd/J\x95',Boiler,Warehouse 1,709,5953.13,80.13,4.09,22.58,74.43,0,0,2.8,High,0
b'\xbe\xa4\x03\x1d\x93c@\xb9\x95\x92\x80\x11\xb7\xc0\x05\xbc',Pump,Building C,665,5697.1,86.82,3.88,22.25,66.82,0,0,1.34,Low,0
b'\xe9!\xf6\x9cxYO^\xac\x00|\xe1\xa5x\xb6\x03',Boiler,Warehouse 1,1095,4836.93,67.55,1.99,19.28,50.93,0,1,3.3,Medium,0
b'\xfe\x80\x84\x1f-\x94J\x87\x99\xc3@\xc6\xcf\x07c\x86',Boiler,Warehouse 1,1608,5030.19,81.09,2.31,18.9,60.04,2,1,0.15,High,0
b'E\xa1\xb0\n\x02qE\xae\x9c\x1ba\xbf\xe6\xf3\x05\xb1',Generator,Building B,1251,3392.44,67.37,1.85,15.3,78.21,3,1,1.29,Low,0
b'W\x9e\x95%\xf7\xf0MV\x8a\xaf\xd0\xbcF\x8a\xaa8',Boiler,Warehouse 2,1110,5635.42,62.61,3.09,21.39,51.47,1,0,4.39,Low,0
b'\xb7qE\x04\xc0j@\xc2\xb9\xcc;\x8a/%\x0e\x97',HVAC,Warehouse 1,973,1980.49,76.84,5.7,26.19,34.31,1,1,2.5,Low,0
b'y\xc3L\xbc6PI\x14\x8d\\\xee1?\xce\xc5\xab',Boiler,Warehouse 2,1493,5476.36,80.05,4.59,33.8,38.57,1,0,1.37,Low,0
b'O\xfd\x8e\n\xde\\O\x9b\xac\xbc\x1a\x85\x82^(\xc2',Boiler,Warehouse 1,1609,4305.29,70.91,2.21,20.76,74.92,1,0,1.43,Low,0
b'p\xad\xef\xbb\xc3\x8aO\x90\x98\x9d+R;\xc5\xf3Y',Pump,Building C,1214,4672.11,76.55,4.24,15.66,48.98,0,1,0.89,Low,0
b'*fe\xe8@\x04B&\x93|u\xa5\xb3`\xf4\xfa',Boiler,Warehouse 1,551,5728.68,70.12,4.54,16.68,83.51,2,0,6.65,Low,0
b'SO*\x00\xf9\xcbD\xea\x82\x96:?\x081}\xd0',Boiler,Building C,368,5265.36,69.17,-0.66,19.33,67.96,1,1,0.37,High,0
"b'w\x1d\x80""C\x06D\x1b\xbb\xf9\xcfl\x9fW\xc6\xfc'",Pump,Warehouse 2,1325,5965.4,87.36,3.13,20.99,47.88,0,1,3.04,Low,0
b'v\xa1\xc2\xf1\xcb\xe6G\xc7\xa9\xb6\xa1\xeb\xe7;>\xbf',Elevator,Building C,1010,4561.89,76.4,3.61,19.38,60.02,1,1,0.47,Medium,0
b'1\x8a\x9f\x18R[C\x17\x91\xc5)\xb8\xc8\x10\xd0\xfa',Pump,Building C,1125,3595.44,60.84,4.85,18.4,81.02,0,1,2.14,Low,0
b'\xcc{z\x80J\xf5J\x18\xb0\x80T\x99\x08\xa97\x92',Boiler,Warehouse 1,517,6039.11,74.24,4.01,14.64,66.47,1,0,2.11,Low,0
b'7\x8bRpq\xb3GO\x8b\xe4\x9ee\xeci\x9c\xa1',Generator,Building A,1319,4130.34,86.25,1.22,28.21,72.79,0,1,4.42,Low,0
b'%C;\x88p\x9c@J\xb1`s\x03\x9a\x13/\x80',Boiler,Building C,463,4121.52,60.87,0.38,20.6,80.13,0,0,0.95,Medium,0
b'\xab\x9f\xc3\xfb\x15\x92H\xed\xab|\x0f\xd6\x92\xe9\xf2\xc8',Boiler,Building B,1471,4771.4,65.06,-0.84,19.04,61.86,1,0,1.25,Medium,0
b'\xe2\xacp&\x9a\xfeA\xee\x82b\x8a\xf2$\x90.\xc4',HVAC,Building A,1222,5022.47,80.47,1.23,25.57,76.44,3,0,0.03,Low,0
b'\xea\xd7\n2\x04DD6\xb7\xfc\x84\x05\t\x8a\x053',Boiler,Building B,1231,5672.86,80.92,2.47,17.13,31.05,2,1,0.86,Medium,0
b'o\x89\xc8y+fB\xa1\xae\x01\xe5\x1eO\x00`\n',Generator,Building C,1408,5988.67,61.49,4.01,23.38,57.48,1,0,0.14,Low,0
b'\xd5f\x0f_\xf2\x10Dn\x98e\x86?\x909\x7f\xc2',HVAC,Building B,1215,4256.87,67.03,5.51,19.46,58.43,0,1,6.33,Medium,0
b'=\x866$0\xdcJo\xad\xb0\x1d\x94\x0eq\xf2\xc6',Elevator,Building C,545,5020.89,77.31,1.11,16.92,41.75,0,0,1.95,High,0
b'\xc8CW\x13kMA\x88\x92\x0eY^;&9\xcd',Generator,Building C,1162,5393.27,89.13,3.49,18.15,68.16,2,1,0.85,Medium,0
b'\xd5l\xb0\xe0\x0f\xe5C\x91\xbf\xfb\xccD;\x14\x98}',Elevator,Warehouse 2,1142,4765.98,79.66,4.48,19.62,72.46,0,1,0.32,Low,0
b'\xefN\x9cl\x9f\xe4DY\x86Uj-\x7f\xa7\x17\x99',Pump,Building C,776,3910.92,73.44,3.06,22.92,44.51,2,1,0.64,Low,0
b'\x10g\x7fHh\xdfKc\x9a\xf2\x8aa\xd5\xbc\x94Z',Elevator,Building B,933,4819.61,88.73,-0.32,27.67,32.63,0,1,1.18,Low,0
"b"")'\xb3\r\xf7\x91M2\xb6\x96\xc5h\xa1n\xbfE""",HVAC,Warehouse 1,848,5447.86,78.71,3.07,21.66,45.57,2,1,1.95,Low,0
b'\xf9P##\x13\x8bG\x9d\xb7\r\xd9s\xe7\xa6L\xe2',Elevator,Building A,1444,5425.89,75.19,2.04,22.44,58.61,1,1,2.05,Low,0
b'\x91\x03\xe0$\xa4\xb9E?\x84}\xdd@\xcf572',Boiler,Building A,1443,4043.56,79.72,5.23,21.78,59.93,0,0,0.02,Medium,0
"b'\x1c""DK\x13cC%\xbe\xaf\xd6\x9c\x89\xf20\''",Pump,Building C,1592,5618.49,72.93,3.94,13.65,43.32,2,0,0.2,Medium,0
b'\xd3@\xb27\xb8\xa9L\xa7\x95O\xfe]\xe5\xd7e:',Generator,Building C,928,4563.28,74.34,6.15,18.76,37.11,1,1,5.04,Low,0
b'@\x04\x98\xc0\xe1\x9cL\xfd\x99\x8cM\xca\xf1\xef4\xc9',Boiler,Building C,1218,4350.63,88.21,5.13,17.0,85.11,2,0,3.1,Medium,1
b'\x9d\xe2\xc6VgHA\x16\xb0\xef\xd1QS\xef\x86F',Boiler,Building A,1058,5406.48,59.2,5.07,13.78,44.42,0,0,5.01,High,0
b'\x96\x9a\x18\xe6\xaaINg\x98\x1c\x87q\xb6\x0c\xc4\xc8',HVAC,Building A,615,5014.27,65.46,2.39,23.43,87.03,2,0,1.45,Low,0
b'\x86\xb8\x99\x13dUG\\\xa7\x7fD\x9e\x0cDY\xef',Boiler,Warehouse 1,1655,4194.89,84.58,4.17,18.55,86.79,3,1,1.38,Low,0
b'\xc1D\x90\x11\xe3\xd3Ga\xbd\xa0\xf6\xb6|a\xc8\xd1',Boiler,Warehouse 1,644,5409.03,61.74,2.17,14.87,81.3,0,1,0.15,Low,0
b'\x92\xb1\xc8\xac6\\G6\x82X\xe8;3\x81\x84\xd7',HVAC,Warehouse 2,1150,2395.79,76.99,3.66,22.02,49.93,3,1,4.17,Low,0
"b'""\xea\xa5\x91M`A\xd2\x87\x7f%\xe8\xdf\xc3\xee\xd0'",HVAC,Building B,981,3221.41,78.2,2.24,19.59,37.67,1,0,1.08,Low,0
b'#\xb4(\xafP\xdbHP\x99\xa0\xc4\xbd4\x1b\x88\xc5',HVAC,Building A,385,4324.29,75.34,1.37,14.57,43.82,0,1,2.61,Low,0
